TIME,ACC4,ACC3,ACC2,ACC1,ROOT
848,11666503,10071,-113,-1,0
849,11676460,9957,-114,-1,0
850,11686302,9842,-115,-1,0
851,11696028,9726,-116,-1,0
852,11705637,9609,-117,-1,0
853,11715128,9491,-118,-1,0
854,11724500,9372,-119,-1,0
855,11733752,9252,-120,-1,0
856,11742883,9131,-121,-1,0
857,11751892,9009,-122,-1,0
858,11760778,8886,-123,-1,0
859,11769540,8762,-124,-1,0
860,11778177,8637,-125,-1,0
861,11786688,8511,-126,-1,0
862,11795072,8384,-127,-1,0
863,11803328,8256,-128,-1,0
864,11811456,8128,-128,0,1
865,11819457,8001,-127,1,1
866,11827332,7875,-126,1,0
867,11835082,7750,-125,1,0
868,11842708,7626,-124,1,0
869,11850211,7503,-123,1,0
870,11857592,7381,-122,1,0
871,11864852,7260,-121,1,0
872,11871992,7140,-120,1,0
873,11879013,7021,-119,1,0
874,11885916,6903,-118,1,0
875,11892702,6786,-117,1,0
876,11899372,6670,-116,1,0
877,11905927,6555,-115,1,0
878,11912368,6441,-114,1,0
879,11918696,6328,-113,1,0
880,11924912,6216,-112,1,0
881,11931017,6105,-111,1,0
882,11937012,5995,-110,1,0
883,11942898,5886,-109,1,0
884,11948676,5778,-108,1,0
885,11954347,5671,-107,1,0
886,11959912,5565,-106,1,0
887,11965372,5460,-105,1,0
888,11970728,5356,-104,1,0
889,11975981,5253,-103,1,0
890,11981132,5151,-102,1,0
891,11986182,5050,-101,1,0
892,11991132,4950,-100,1,0
893,11995983,4851,-99,1,0
894,12000736,4753,-98,1,0
895,12005392,4656,-97,1,0
896,12009952,4560,-96,1,0
897,12014417,4465,-95,1,0
898,12018788,4371,-94,1,0
899,12023066,4278,-93,1,0
900,12027252,4186,-92,1,0
901,12031347,4095,-91,1,0
902,12035352,4005,-90,1,0
903,12039268,3916,-89,1,0
904,12043096,3828,-88,1,0
905,12046837,3741,-87,1,0
906,12050492,3655,-86,1,0
907,12054062,3570,-85,1,0
908,12057548,3486,-84,1,0
